-52.85,-52.65,-52.5,-52.5,-55,-55,-53.455,-52.264,-51.221,-51.367,-56,-53.153,-50.04,-50.98,-52.033,-54.847,-54.75,-53.5,-51.5,-53.54,-58.272,-58.694,-57.128,-58.064,-59,-59,-59.769,-61.308,-60,-62.2,-59.885,-58.127,-56.087,-56.392,-59.755,-62.75,-62,-58.8,-58,-59.7,-60.532,-59.3,-59.8,-60.61,-59.356,-60.778,-61.311,-60.111,-58.964,-59.327,-61.182,-61.172,-60.187,-60.75,-60.759,-62.5,-67.3,-63.667,-61.686,-60.853,-60.02,-60.25,-62.25,-62.182,-61.818,-60.366,-58.1,-59.047,-61.532,-61.288,-61.417,-60.619,-59.762,-58.905,-57.852,-57.622,-57.568,-57.514,-58.296,-59.611,-59.333
-52.8,-52.6,-52.5,-52.5,-54.167,-55,-53.32,-52.911,-53.028,-54.24,-56,-53.612,-50.85,-49.64,-51.727,-54.745,-54.727,-52.964,-51,-53.48,-58.111,-58.861,-55.156,-53.981,-56.915,-58.305,-59.25,-54.887,-57.049,-55,-59,-56.68,-55.46,-56.275,-59.185,-61.18,-59.286,-56,-55.333,-58,-60.133,-60.302,-59,-59.732,-59,-61,-61.444,-59.815,-60.2,-61.861,-61.303,-58.152,-58.273,-60,-61.667,-62.205,-67.71,-67.133,-62.556,-63.199,-62.968,-62.568,-61.85,-61.124,-60.694,-59,-56.964,-58.442,-60.89,-61.732,-62.103,-61.103,-59.992,-58.881,-57.77,-57.62,-57.562,-57.508,-58.812,-59.625,-59.833
-56,-54,-52.276,-51.81,-53.075,-54.923,-53.289,-51.988,-50.877,-51.667,-54.722,-53.711,-50.714,-49.118,-51.6,-54.533,-55.55,-53.692,-52,-53.2,-57.1,-58,-55,-52.489,-52.222,-55.288,-56.419,-54.713,-55,-55.46,-57.5,-55.194,-55.37,-56.933,-59.763,-60.575,-57.259,-52.553,-54.125,-57.333,-59.905,-59.312,-57.25,-57.607,-58.821,-61.074,-61.407,-59.146,-59.383,-61.15,-61.265,-57.875,-56.571,-57.415,-59.4,-60.958,-63.571,-65.5,-61.302,-59.906,-59.087,-60.032,-61.421,-60.021,-58.621,-57.587,-56.25,-58.05,-60.45,-61.446,-62.103,-60.19,-58.832,-57.685,-57.628,-57.571,-57.514,-58.786,-59.801,-59.87,-59
-55.783,-53.8,-51.62,-52.182,-52.567,-53.8,-52.304,-51.189,-50.689,-51.565,-53.387,-52.806,-49.857,-49.878,-54.32,-58,-54.746,-52.093,-52.844,-57.326,-59,-56.963,-53.807,-51.2,-52.394,-56,-55.275,-53.389,-53.689,-55.86,-58.5,-55.35,-52.333,-56.556,-59.667,-59.593,-54.052,-51.865,-54.519,-56.246,-58.5,-62,-59.6,-58.615,-62.099,-61.435,-56.5,-52.9,-56.2,-61.364,-60.727,-56.8,-55.855,-54.986,-58.16,-60.5,-65.39,-63.714,-63.406,-62.704,-61,-60.257,-57.862,-60.195,-60.503,-58.039,-56.629,-57.829,-58.966,-60.115,-62.086,-59.086,-56.862,-57.322,-57.782,-58.034,-58.284,-60.833,-60.511,-59.514,-60.875
-55,-53.071,-51.01,-51.091,-52.424,-53,-51.833,-51.611,-51.833,-52.8,-56,-52.16,-49.744,-50.171,-55.178,-58.796,-55.978,-51.61,-53.322,-57.311,-60.111,-54.6,-54.148,-53.697,-53.958,-55.773,-53.896,-52.487,-52.956,-54.6,-57,-53.771,-50.426,-56.114,-60.8,-59.444,-54.353,-52.505,-54.109,-55.926,-56.125,-53,-51,-57.5,-60.898,-61.827,-57.712,-52.876,-56.067,-61.136,-61.889,-56.815,-52.2,-54.9,-59,-61.4,-62.196,-63.786,-62.788,-61.791,-60.793,-58.114,-55,-57.333,-59.667,-57.535,-56.116,-57.274,-57.838,-58.403,-58.2,-56.875,-55.586,-56.148,-56.838,-57.528,-58.218,-60,-60.4,-60.6,-61.514
-54.455,-52.855,-51.403,-50.778,-52.296,-52.921,-53,-52.084,-51.468,-52.8,-55.929,-52.16,-49.61,-50.159,-55.178,-58.778,-53.447,-50.382,-51.462,-55.862,-60.17,-57.239,-53.949,-50.4,-53.8,-55.8,-55.68,-53.182,-52.16,-54.237,-56.556,-53.185,-49.889,-54,-60.108,-60.533,-55.515,-55.152,-54.667,-55.873,-55.537,-53.439,-50.5,-56.95,-60.926,-60.393,-56.5,-52.375,-54.594,-60.337,-61.569,-55.987,-52.2,-57.4,-61.133,-61.878,-62.087,-63.894,-62.711,-61.528,-60.345,-57.7,-54.5,-54.875,-54.958,-55.438,-55.412,-55.839,-55.985,-55.918,-55.852,-55.785,-55.546,-56.148,-56.838,-57.528,-58.218,-60,-60.4,-60.473,-62.27
-53.723,-51.908,-50.4,-49.898,-51.475,-52.556,-51.311,-50.833,-50.796,-51.958,-53.824,-51.646,-50.528,-49.222,-53.044,-58.778,-53.978,-50.92,-50.9,-54.436,-60.045,-57.303,-54.133,-49.8,-51.8,-55.8,-55.367,-53.444,-52.154,-54.915,-56.778,-53,-49,-54.289,-60.583,-60.833,-55.833,-54.667,-54.287,-56.044,-54.711,-52.267,-50.167,-56.917,-60.926,-59.767,-56.672,-52.375,-56.099,-60.373,-61.133,-57.133,-53.25,-53.88,-59.15,-61.675,-61.739,-63.786,-62.505,-61.223,-59.941,-57.171,-53.694,-54.555,-54.961,-55.366,-54.555,-54.737,-54.737,-54.737,-54.967,-55.428,-55.402,-56.014,-56.746,-57.479,-58.211,-59.233,-60.137,-59.939,-61.444
-51.848,-51.133,-50.353,-49.898,-51.119,-52.556,-51.519,-51.222,-51.667,-53.167,-53.9,-51.611,-50.468,-49.222,-52.022,-57.889,-52.678,-50.28,-50.812,-53.527,-59.636,-55.303,-52.2,-49.8,-53.8,-55.055,-55.367,-53.471,-51.5,-55.85,-58.111,-53.804,-49.86,-54.023,-60.778,-61.778,-57.389,-52.299,-53.407,-56.267,-54.78,-52.293,-50.173,-56.677,-61.09,-60.273,-55.348,-51.963,-56.122,-60.559,-61.5,-57.82,-54,-55.58,-61,-62.5,-61.214,-63.709,-62.465,-61.22,-59.976,-57.789,-53.789,-55.868,-58.868,-56.934,-53.337,-53.737,-54.137,-54.537,-54.925,-55.303,-55.374,-55.615,-55.91,-56.271,-56.706,-58,-59.44,-58.205,-59.778
-53.704,-52.286,-50.5,-48.5,-50.55,-52.556,-51.519,-51.006,-50.686,-53.167,-54.05,-51.15,-49.476,-50.111,-54.867,-57.639,-52.439,-50.142,-51.607,-54.171,-58.986,-56.789,-53.573,-49.75,-50.446,-51.386,-53.261,-53.667,-51.1,-55.025,-57.722,-53.5,-52.681,-53.125,-59.8,-61.533,-58.963,-56.741,-54.519,-56.111,-54.711,-52.464,-50.336,-56.574,-61.09,-60.03,-55.169,-52.123,-54.906,-59.854,-61.105,-57.626,-54.4,-55.8,-61.5,-62.5,-61.214,-63.709,-62.325,-60.896,-59.467,-57.243,-53.762,-55.575,-58.591,-56.9,-53.263,-53.468,-53.677,-53.914,-54.225,-54.536,-54.546,-54.863,-55.242,-55.621,-56,-58.333,-58.75,-58.292,-58.958
-53.037,-52.568,-51.167,-48.5,-50.549,-52.556,-50.852,-50.311,-50.258,-52.237,-53.952,-51.192,-49.294,-48.667,-51.067,-57.111,-52.444,-49.772,-49.545,-53.268,-58.622,-55.316,-53.074,-49.444,-52.502,-53.48,-53.76,-52.684,-53.26,-53.766,-56.889,-53.289,-50.354,-53.092,-59.963,-61.352,-58.536,-54.42,-52.573,-56.222,-54.4,-54.133,-55.333,-55.774,-60.397,-59.455,-54.769,-51.923,-54.5,-58.877,-60.364,-57.364,-54.236,-54.759,-59.86,-60.927,-59.257,-61.12,-59.819,-59.016,-58.245,-56.78,-54.452,-54.863,-58.091,-57.003,-53.975,-53.538,-53.897,-54.596,-56.945,-56.849,-55.649,-55.07,-55.517,-56.145,-57.205,-58.667,-58.75,-58.333,-60
